"","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE"
"216",2017,2017-11-30,"vsPhiladelphiaPhiladelphia","W108-97","19-4","18624"
"217",2017,2017-12-02,"vsPhoenixPhoenix","W116-111","20-4","18624"
"218",2017,2017-12-04,"vsMilwaukeeMilwaukee","W111-100","21-4","18624"
"219",2017,2017-12-06,"vsDallasDallas","W97-90","22-4","18624"
"220",2017,2017-12-13,"vsDenverDenver","W124-118","24-6","18624"
"221",2017,2017-12-15,"vsUTAHUTAH","L107-95","24-7","18624"
"222",2017,2017-12-20,"vsMiamiMiami","L90-89","26-7","18624"
"223",2017,2017-12-23,"vsChicagoChicago","W117-92","27-9","18624"
"224",2017,2017-12-25,"vsWashingtonWashington","L111-103","27-10","18624"
"225",2017,2017-12-28,"vsHoustonHouston","W99-98","29-10","18624"
"226",2017,2017-12-31,"vsBrooklynBrooklyn","W108-105","30-10","18624"
"227",2018,2018-01-03,"vsClevelandCleveland","W102-88","31-10","18624"
"228",2018,2018-01-05,"vsMinnesotaMinnesota","W91-84","32-10","18624"
"229",2018,2018-01-16,"vsNew OrleansNew Orleans","L116-113 OT","34-11","18624"
"230",2018,2018-01-18,"vsPhiladelphiaPhiladelphia","L89-80","34-12","18624"
"231",2018,2018-01-21,"vsOrlandoOrlando","L103-95","34-13","18624"
"232",2018,2018-01-31,"vsNew YorkNew York","W103-73","37-15","18624"
"233",2018,2018-02-02,"vsAtlantaAtlanta","W119-110","38-15","18624"
"234",2018,2018-02-04,"vsPortlandPortland","W97-96","39-15","18624"
"235",2018,2018-02-09,"vsIndianaIndiana","L97-91","40-17","18624"
"236",2018,2018-02-11,"vsClevelandCleveland","L121-99","40-18","18624"
"237",2018,2018-02-14,"vsLALA","L129-119","40-19","18624"
"238",2018,2018-02-26,"vsMemphisMemphis","W109-98","43-19","18624"
"239",2018,2018-02-28,"vsCharlotteCharlotte","W134-106","44-19","18624"
"240",2018,2018-03-11,"vsIndianaIndiana","L99-97","46-21","18624"
"241",2018,2018-03-14,"vsWashingtonWashington","L125-124 2OT","46-22","18624"
"242",2018,2018-03-20,"vsOklahoma CityOklahoma City","W100-99","48-23","18624"
"243",2018,2018-03-31,"vsTorontoToronto","W110-99","53-23","18624"
"244",2018,2018-04-06,"vsChicagoChicago","W111-104","54-25","18624"
"245",2018,2018-04-08,"vsAtlantaAtlanta","L112-106","54-26","18624"
"246",2018,2018-04-11,"vsBrooklynBrooklyn","W110-97","55-27","18624"
