"","X.2","Gm.","Year","DATE","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"48",48,48,2017,"2017-05-27","boxscore","BOS","","SEA","W",6,0,NA,"27-21",2,"2","Johnson","Whalen","","2:23","D",36985,"++++++",NA,"USW00014739","BOSTON, MA US",0,0,NA,56,61,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,49,2017,"2017-05-28","boxscore","BOS","","SEA","L",0,5,NA,"27-22",2,"3","Bergman","Porcello","","3:14","D",37174,"-",NA,"USW00014739","BOSTON, MA US",0,0,NA,58,67,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,50,2017,"2017-05-29","boxscore","BOS","@","CHW","L",4,5,NA,"27-23",2,"3","Minaya","Barnes","Robertson","3:16","D",27148,"--",NA,"USW00014739","BOSTON, MA US",0.05,0,NA,53,54,49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,51,2017,"2017-05-30","boxscore","BOS","@","CHW","W",13,7,NA,"28-23",2,"3","Sale","Quintana","Kimbrel","3:53","N",21852,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,51,59,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,52,2017,"2017-05-31","boxscore","BOS","@","CHW","W",4,1,NA,"29-23",2,"2","Pomeranz","Swarzak","Kimbrel","2:59","N",19075,"++",NA,"USW00014739","BOSTON, MA US",0.06,0,NA,59,68,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,53,2017,"2017-06-01","boxscore","BOS","@","BAL","L",5,7,NA,"29-24",2,"3","Miley","Rodriguez","","2:38","N",20150,"-",NA,"USW00014739","BOSTON, MA US",0.16,0,NA,67,79,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,54,2017,"2017-06-02","boxscore","BOS","@","BAL","L",2,3,NA,"29-25",3,"3","Asher","Porcello","Brach","2:59","N",33193,"--",NA,"USW00014739","BOSTON, MA US",0.01,0,NA,65,72,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,55,2017,"2017-06-03","boxscore","BOS","@","BAL","W",5,2,NA,"30-25",2,"3","Price","Bundy","Kimbrel","3:22","N",35470,"+",NA,"USW00014739","BOSTON, MA US",0,0,NA,61,69,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,56,2017,"2017-06-04","boxscore","BOS","@","BAL","W",7,3,NA,"31-25",2,"2","Sale","Tillman","","3:06","D",31819,"++",NA,"USW00014739","BOSTON, MA US",0.18,0,NA,62,70,54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,57,2017,"2017-06-06","boxscore","BOS","@","NYY","W",5,4,NA,"32-25",2,"1","Pomeranz","Tanaka","Kimbrel","3:35","N",41516,"+++",NA,"USW00014739","BOSTON, MA US",0.8,0,NA,50,52,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
