"","Gm.","Year","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"126",126,2017,2017-08-23,"boxscore","BOS","@","CLE","W",6,1,NA,"73-53",1,"up 4.5","Pomeranz","Kluber","","3:11","N","25346","++",NA
"127",127,2017,2017-08-24,"boxscore","BOS","@","CLE","L",6,13,NA,"73-54",1,"up 4.5","Bauer","Sale","","3:28","N","21643","-",NA
"128",128,2017,2017-08-25,"boxscore","BOS","","BAL","L",3,16,NA,"73-55",1,"up 4.5","Hellickson","Porcello","","3:37","N","37191","--",NA
"129",129,2017,2017-08-26,"boxscore","BOS","","BAL","L",0,7,NA,"73-56",1,"up 3.5","Gausman","Rodriguez","","2:58","D","36655","---",NA
"130",130,2017,2017-08-27,"boxscore","BOS","","BAL","L",1,2,NA,"73-57",1,"up 2.5","Miley","Fister","Brach","3:22","D","36625","----",NA
"131",131,2017,2017-08-28,"boxscore","BOS","@","TOR","W",6,5,NA,"74-57",1,"up 3.5","Pomeranz","Barnes","Kimbrel","3:23","N","35630","+",NA
"132",132,2017,2017-08-29,"boxscore","BOS","@","TOR","W",3,0,NA,"75-57",1,"up 4.0","Sale","Anderson","Kimbrel","2:44","N","34674","++",NA
"133",133,2017,2017-08-30,"boxscore","BOS","@","TOR","W",7,1,NA,"76-57",1,"up 5.5","Porcello","Koehler","","2:58","N","37693","+++",NA
"134",134,2017,2017-08-31,"boxscore","BOS","@","NYY","L",2,6,NA,"76-58",1,"up 4.5","Sabathia","Rodriguez","","3:44","N","43309","-",NA
"135",135,2017,2017-09-01,"boxscore","BOS","@","NYY","W",4,1,NA,"77-58",1,"up 5.5","Fister","Gray","Kimbrel","2:44","N","42332","+",NA
"136",136,2017,2017-09-02,"boxscore","BOS","@","NYY","L",1,5,NA,"77-59",1,"up 4.5","Tanaka","Pomeranz","","2:58","D","46536","-",NA
"137",137,2017,2017-09-03,"boxscore","BOS","@","NYY","L",2,9,NA,"77-60",1,"up 3.5","Severino","Sale","","3:46","N","46717","--",NA
"138",138,2017,2017-09-04,"boxscore","BOS","","TOR","L",4,10,NA,"77-61",1,"up 2.5","Happ","Porcello","","3:25","N","34311","---",NA
"139",139,2017,2017-09-05,"boxscore","BOS","","TOR","W-wo",3,2,19,"78-61",1,"up 3.5","Velazquez","Rowley","","6:00","N","33009","+",NA
"140",140,2017,2017-09-06,"boxscore","BOS","","TOR","W",6,1,NA,"79-61",1,"up 4.0","Fister","Biagini","","2:57","N","33190","++",NA
"141",141,2017,2017-09-08,"boxscore","BOS","","TBR","W",9,3,NA,"80-61",1,"up 4.5","Pomeranz","Archer","","3:14","N","34781","+++",NA
"142",142,2017,2017-09-09,"boxscore","BOS","","TBR","W",9,0,NA,"81-61",1,"up 4.5","Sale","Andriese","","3:05","N","36734","++++",NA
"143",143,2017,2017-09-10,"boxscore","BOS","","TBR","L",1,4,NA,"81-62",1,"up 3.5","Cobb","Porcello","Colome","3:22","D","35859","-",NA
"144",144,2017,2017-09-12,"boxscore","BOS","","OAK","W",11,1,NA,"82-62",1,"up 4.0","Rodriguez","Manaea","","3:06","N","34355","+",NA
"145",145,2017,2017-09-13,"boxscore","BOS","","OAK","L",3,7,NA,"82-63",1,"up 3.0","Cotton","Fister","","3:07","N","36366","-",NA
"146",146,2017,2017-09-14,"boxscore","BOS","","OAK","W",6,2,NA,"83-63",1,"up 3.0","Pomeranz","Gossett","","3:19","D","35470","+",NA
"147",147,2017,2017-09-15,"boxscore","BOS","@","TBR","W",13,6,15,"84-63",1,"up 3.0","Workman","Pruitt","","6:05","N","16006","++",NA
"148",148,2017,2017-09-16,"boxscore","BOS","@","TBR","W",3,1,NA,"85-63",1,"up 3.0","Porcello","Cobb","Kimbrel","2:44","N","14942","+++",NA
"149",149,2017,2017-09-17,"boxscore","BOS","@","TBR","L",2,3,NA,"85-64",1,"up 3.0","Odorizzi","Rodriguez","Colome","2:37","D","14936","-",NA
"150",150,2017,2017-09-18,"boxscore","BOS","@","BAL","W",10,8,11,"86-64",1,"up 3.0","Barnes","Castro","Smith","4:24","N","16716","+",NA
"151",151,2017,2017-09-19,"boxscore","BOS","@","BAL","W",1,0,11,"87-64",1,"up 3.0","Kelly","Brach","Barnes","3:27","N","21449","++",NA
"152",152,2017,2017-09-20,"boxscore","BOS","@","BAL","W",9,0,NA,"88-64",1,"up 3.0","Sale","Miley","","3:11","N","16906","+++",NA
"153",153,2017,2017-09-22,"boxscore","BOS","@","CIN","W",5,4,NA,"89-64",1,"up 4.0","Price","Romano","Kimbrel","2:45","N","23463","++++",NA
"154",154,2017,2017-09-23,"boxscore","BOS","@","CIN","W",5,0,NA,"90-64",1,"up 4.0","Rodriguez","Stephenson","","2:51","D","36076","+++++",NA
"155",155,2017,2017-09-24,"boxscore","BOS","@","CIN","W",5,4,NA,"91-64",1,"up 5.0","Scott","Iglesias","Kimbrel","3:11","D","25545","++++++",NA
"156",156,2017,2017-09-25,"boxscore","BOS","","TOR","L",4,6,NA,"91-65",1,"up 4.0","Anderson","Pomeranz","Osuna","2:57","N","33940","-",NA
"157",157,2017,2017-09-26,"boxscore","BOS","","TOR","L",4,9,NA,"91-66",1,"up 3.0","Happ","Sale","","3:04","N","33999","--",NA
"158",158,2017,2017-09-27,"boxscore","BOS","","TOR","W",10,7,NA,"92-66",1,"up 3.0","Porcello","Estrada","","2:57","N","34445","+",NA
"159",159,2017,2017-09-28,"boxscore","BOS","","HOU","L",2,12,NA,"92-67",1,"up 3.0","Peacock","Rodriguez","","3:31","N","34222","-",NA
"160",160,2017,2017-09-29,"boxscore","BOS","","HOU","L",2,3,NA,"92-68",1,"up 2.0","Morton","Fister","Giles","2:47","N","36623","--",NA
"161",161,2017,2017-09-30,"boxscore","BOS","","HOU","W",6,3,NA,"93-68",1,"up 2.0","Pomeranz","McCullers","","3:19","D","35722","+",NA
"162",162,2017,2017-10-01,"boxscore","BOS","","HOU","L",3,4,NA,"93-69",1,"up 2.0","McHugh","Abad","Clippard","3:09","D","34517","-",NA
"163",1,2016,2016-04-05,"boxscore","BOS","@","CLE","W",6,2,NA,"Jan-00",1,"Tied","Price","Kluber","","3:13","D","34493","+","2016-04-04 (Cold)"
"164",2,2016,2016-04-06,"boxscore","BOS","@","CLE","L",6,7,NA,"1-Jan",2,"1","McAllister","Tazawa","Allen","3:29","N","10298","-",""
"165",3,2016,2016-04-08,"boxscore","BOS","@","TOR","W",8,7,NA,"1-Feb",2,"1.5","Barnes","Storen","Kimbrel","3:24","N","48871","+",""
"166",4,2016,2016-04-09,"boxscore","BOS","@","TOR","W",8,4,NA,"1-Mar",2,"1","Porcello","Dickey","","2:48","D","47138","++",""
"167",5,2016,2016-04-10,"boxscore","BOS","@","TOR","L",0,3,NA,"2-Mar",2,"2","Estrada","Wright","Osuna","2:27","D","46158","-",""
"168",6,2016,2016-04-11,"boxscore","BOS","","BAL","L",7,9,NA,"3-Mar",3,"3","Brach","Kimbrel","Britton","3:26","D","37160","--",""
"169",7,2016,2016-04-12,"boxscore","BOS","","BAL","L",5,9,NA,"4-Mar",3,"4","Wright","Buchholz","","3:23","N","31114","---",""
"170",8,2016,2016-04-13,"boxscore","BOS","","BAL","W",4,2,NA,"4-Apr",3,"3","Kelly","Jimenez","Kimbrel","3:13","N","31011","+",""
