"","X","YEAR","DATE","OPPONENT","RESULT","W.L","ATTENDANCE","STATION","NAME","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"87",87,2014,"2014-11-17","vsPhoenix","L118-114","3-6","16726","USW00014739","BOSTON, MA US",1.64,0,NA,42,48,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,2014,"2014-11-23","vsPortland","L94-88","4-8","16692","USW00014739","BOSTON, MA US",0,0,NA,47,59,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,2014,"2014-11-28","vsChicago","L109-102","4-9","18203","USW00014739","BOSTON, MA US",0.11,2.3,NA,31,35,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,2014,"2014-11-30","vsSan Antonio","L111-89","4-10","17121","USW00014739","BOSTON, MA US",0,0,NA,42,57,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,2014,"2014-12-03","vsDetroit","W109-102 OT","5-11","15870","USW00014739","BOSTON, MA US",0.44,0,NA,44,51,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,2014,"2014-12-05","vsLos Angeles","W113-96","6-11","18624","USW00014739","BOSTON, MA US",0.11,0,NA,33,42,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,2014,"2014-12-07","vsWashington","W101-93","7-11","16716","USW00014739","BOSTON, MA US",0.13,0,NA,36,38,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,2014,"2014-12-12","vsNew York","L101-95","7-14","17989","USW00014739","BOSTON, MA US",0,0,NA,34,39,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,2014,"2014-12-17","vsOrlando","W109-92","9-14","16764","USW00014739","BOSTON, MA US",0.43,0,NA,45,49,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,2014,"2014-12-19","vsMinnesota","W114-98","10-14","17042","USW00014739","BOSTON, MA US",0,0,NA,36,37,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
